x = 0.00011 : 1
x = 0.00265 : 0.999999
x = 0.00519 : 0.999996
x = 0.00773 : 0.99999
x = 0.01027 : 0.999982
x = 0.01281 : 0.999973
x = 0.01535 : 0.999961
x = 0.01789 : 0.999947
x = 0.02043 : 0.99993
x = 0.02297 : 0.999912
x = 0.02551 : 0.999892
x = 0.02805 : 0.999869
x = 0.03059 : 0.999844
x = 0.03313 : 0.999817
x = 0.03567 : 0.999788
x = 0.03821 : 0.999757
x = 0.04075 : 0.999723
x = 0.04329 : 0.999688
x = 0.04583 : 0.99965
x = 0.04837 : 0.99961
x = 0.05091 : 0.999568
x = 0.05345 : 0.999524
x = 0.05599 : 0.999478
x = 0.05853 : 0.999429
x = 0.06107 : 0.999379
x = 0.06361 : 0.999326
x = 0.06615 : 0.999271
x = 0.06869 : 0.999214
x = 0.07123 : 0.999155
x = 0.07377 : 0.999093
x = 0.07631 : 0.99903
x = 0.07885 : 0.998964
x = 0.08139 : 0.998896
x = 0.08393 : 0.998826
x = 0.08647 : 0.998754
x = 0.08901 : 0.99868
x = 0.09155 : 0.998604
x = 0.09409 : 0.998525
x = 0.09663 : 0.998445
x = 0.09917 : 0.998362
x = 0.10171 : 0.998277
x = 0.10425 : 0.99819
x = 0.10679 : 0.9981
x = 0.10933 : 0.998009
x = 0.11187 : 0.997915
x = 0.11441 : 0.99782
x = 0.11695 : 0.997722
x = 0.11949 : 0.997622
x = 0.12203 : 0.99752
x = 0.12457 : 0.997416
x = 0.12711 : 0.997309
x = 0.12965 : 0.997201
x = 0.13219 : 0.99709
x = 0.13473 : 0.996977
x = 0.13727 : 0.996862
x = 0.13981 : 0.996745
x = 0.14235 : 0.996626
x = 0.14489 : 0.996505
x = 0.14743 : 0.996381
x = 0.14997 : 0.996256
x = 0.15251 : 0.996128
x = 0.15505 : 0.995998
x = 0.15759 : 0.995866
x = 0.16013 : 0.995732
x = 0.16267 : 0.995596
x = 0.16521 : 0.995457
x = 0.16775 : 0.995317
x = 0.17029 : 0.995174
x = 0.17283 : 0.995029
x = 0.17537 : 0.994882
x = 0.17791 : 0.994733
x = 0.18045 : 0.994582
x = 0.18299 : 0.994428
x = 0.18553 : 0.994273
x = 0.18807 : 0.994115
x = 0.19061 : 0.993956
x = 0.19315 : 0.993794
x = 0.19569 : 0.99363
x = 0.19823 : 0.993464
x = 0.20077 : 0.993295
x = 0.20331 : 0.993125
x = 0.20585 : 0.992953
x = 0.20839 : 0.992778
x = 0.21093 : 0.992601
x = 0.21347 : 0.992422
x = 0.21601 : 0.992241
x = 0.21855 : 0.992058
x = 0.22109 : 0.991873
x = 0.22363 : 0.991686
x = 0.22617 : 0.991496
x = 0.22871 : 0.991305
x = 0.23125 : 0.991111
x = 0.23379 : 0.990915
x = 0.23633 : 0.990717
x = 0.23887 : 0.990517
x = 0.24141 : 0.990315
x = 0.24395 : 0.990111
x = 0.24649 : 0.989904
x = 0.24903 : 0.989696
x = 0.25157 : 0.989485
x = 0.25411 : 0.989273
x = 0.25665 : 0.989058
x = 0.25919 : 0.988841
x = 0.26173 : 0.988622
x = 0.26427 : 0.988401
x = 0.26681 : 0.988178
x = 0.26935 : 0.987952
x = 0.27189 : 0.987725
x = 0.27443 : 0.987495
x = 0.27697 : 0.987264
x = 0.27951 : 0.98703
x = 0.28205 : 0.986794
x = 0.28459 : 0.986556
x = 0.28713 : 0.986316
x = 0.28967 : 0.986074
x = 0.29221 : 0.98583
x = 0.29475 : 0.985583
x = 0.29729 : 0.985335
x = 0.29983 : 0.985084
x = 0.30237 : 0.984832
x = 0.30491 : 0.984577
x = 0.30745 : 0.98432
x = 0.30999 : 0.984061
x = 0.31253 : 0.9838
x = 0.31507 : 0.983537
x = 0.31761 : 0.983272
x = 0.32015 : 0.983005
x = 0.32269 : 0.982735
x = 0.32523 : 0.982464
x = 0.32777 : 0.98219
x = 0.33031 : 0.981915
x = 0.33285 : 0.981637
x = 0.33539 : 0.981357
x = 0.33793 : 0.981076
x = 0.34047 : 0.980792
x = 0.34301 : 0.980506
x = 0.34555 : 0.980218
x = 0.34809 : 0.979928
x = 0.35063 : 0.979635
x = 0.35317 : 0.979341
x = 0.35571 : 0.979045
x = 0.35825 : 0.978746
x = 0.36079 : 0.978446
x = 0.36333 : 0.978143
x = 0.36587 : 0.977839
x = 0.36841 : 0.977532
x = 0.37095 : 0.977223
x = 0.37349 : 0.976912
x = 0.37603 : 0.9766
x = 0.37857 : 0.976285
x = 0.38111 : 0.975968
x = 0.38365 : 0.975649
x = 0.38619 : 0.975328
x = 0.38873 : 0.975004
x = 0.39127 : 0.974679
x = 0.39381 : 0.974352
x = 0.39635 : 0.974023
x = 0.39889 : 0.973691
x = 0.40143 : 0.973358
x = 0.40397 : 0.973022
x = 0.40651 : 0.972685
x = 0.40905 : 0.972345
x = 0.41159 : 0.972004
x = 0.41413 : 0.97166
x = 0.41667 : 0.971314
x = 0.41921 : 0.970967
x = 0.42175 : 0.970617
x = 0.42429 : 0.970265
x = 0.42683 : 0.969911
x = 0.42937 : 0.969556
x = 0.43191 : 0.969198
x = 0.43445 : 0.968838
x = 0.43699 : 0.968476
x = 0.43953 : 0.968112
x = 0.44207 : 0.967746
x = 0.44461 : 0.967378
x = 0.44715 : 0.967008
x = 0.44969 : 0.966636
x = 0.45223 : 0.966262
x = 0.45477 : 0.965885
x = 0.45731 : 0.965507
x = 0.45985 : 0.965127
x = 0.46239 : 0.964745
x = 0.46493 : 0.964361
x = 0.46747 : 0.963975
x = 0.47001 : 0.963586
